player,X,N,matches,count_winner,count_unforced_error,count_forced_error,count_return_error,count_ace_or_winner,count_double_fault
Iga Swiatek,0.007931419127409075,12649,206,3734,3582,2363,2092,491,387
Aryna Sabalenka,0.01125526375904398,3240,55,926,765,592,619,199,139
Coco Gauff,-0.008065523216249896,5984,99,1355,1680,1099,993,419,438
Elena Rybakina,0.008727703630278066,8231,112,2038,2192,1525,1411,778,287
Jessica Pegula,-0.0015780083693520287,4800,74,1136,1266,992,1010,225,171
Mirra Andreeva,-0.008608242592573354,4873,74,1383,1528,695,779,249,239
Ons Jabeur,-0.015183024465742045,3339,43,846,1099,484,621,194,95
Maria Sakkari,-0.016603364885663725,3503,59,825,1109,562,647,199,161
Karolina Pliskova,-0.009751781838502385,2023,76,409,500,347,397,206,164
