event,w,N
ace_or_winner,0.09890677493819726,61187
double_fault,-0.18295031338494178,16894
return_error,-0.10372576316253557,80463
winner,0.13747390724589967,112895
forced_error,0.1459154075649629,82264
unforced_error,-0.16130135791444622,138709
