event,w,N
ace_or_winner,0.14298101782682274,13511
double_fault,-0.19511736700927443,14383
return_error,-0.1478331397507543,52888
winner,0.1737050904269828,72465
forced_error,0.17984249360414453,52120
unforced_error,-0.18388733385263895,87944
